model,desc,bucket,minADE,minFDE,MR
base_e2e_lidar,old anchor + original loss,mild_turn,1.3801379785136842,2.9992370332168736,0.5272300469483568
base_e2e_lidar,old anchor + original loss,sharp_turn,1.738755462196739,3.706491462557562,0.5596026490066225
base_e2e_lidar,old anchor + original loss,static_slow,0.12748248759181205,0.14820794127539366,0.0017791231843649591
base_e2e_lidar,old anchor + original loss,straight,0.893162765825687,1.7167304496484865,0.28694383661560907
base_e2e_lidar_turnaware,turn-aware anchor + original loss,mild_turn,1.3440588084639882,2.855748133525018,0.5244590780809031
base_e2e_lidar_turnaware,turn-aware anchor + original loss,sharp_turn,1.7402503036792594,3.7866320027782647,0.5640345056403451
base_e2e_lidar_turnaware,turn-aware anchor + original loss,static_slow,0.12657413072959287,0.14621131232522047,0.001118747003356241
base_e2e_lidar_turnaware,turn-aware anchor + original loss,straight,0.9018225432551877,1.698104228983148,0.2925347222222222
base_e2e_lidar_turnloss,old anchor + turn-aware loss,mild_turn,1.2703984228922405,2.705170116717459,0.5025906735751295
base_e2e_lidar_turnloss,old anchor + turn-aware loss,sharp_turn,1.5873054073941162,3.3652131531736886,0.5448504983388704
base_e2e_lidar_turnloss,old anchor + turn-aware loss,static_slow,0.13326910720284765,0.16193410662642235,0.002666595557451801
base_e2e_lidar_turnloss,old anchor + turn-aware loss,straight,0.8587239307467683,1.645565208579024,0.2698735648888243
base_e2e_lidar_turnaware_turnloss,turn-aware anchor + turn-aware loss,mild_turn,1.2852295528870537,2.7617967843200693,0.5186584789796882
base_e2e_lidar_turnaware_turnloss,turn-aware anchor + turn-aware loss,sharp_turn,1.6087753924852624,3.381428915530835,0.5455746367239102
base_e2e_lidar_turnaware_turnloss,turn-aware anchor + turn-aware loss,static_slow,0.13134070405332143,0.1589746388289992,0.002470185131079179
base_e2e_lidar_turnaware_turnloss,turn-aware anchor + turn-aware loss,straight,0.8684541970773185,1.6791693279640831,0.28881444800466066
base_e2e_lidar_turnaware_modescore,turn-aware anchor + turn-aware loss + turn cls score,mild_turn,1.3150371278861939,2.8522143510521905,0.525749063670412
base_e2e_lidar_turnaware_modescore,turn-aware anchor + turn-aware loss + turn cls score,sharp_turn,1.5824740740141179,3.3761863765937252,0.5393778954334878
base_e2e_lidar_turnaware_modescore,turn-aware anchor + turn-aware loss + turn cls score,static_slow,0.12952843455592108,0.15397784649289428,0.0025778675454448813
base_e2e_lidar_turnaware_modescore,turn-aware anchor + turn-aware loss + turn cls score,straight,0.9011683195271172,1.7397657760490421,0.2848046309696093
